fecha,producto,categoria,cantidad,precio_unitario,total,canal,region
05/01/2026,Rizador de Pelas Digital,Belleza,1,898.50,898.50,Móvil App,Nuevo León
05/02/2026,Juego de Mesa Familiar,Juguetes,1,449,449,Tienda física,CDMX
05/02/2026,Set Ciencia Experimentos,Juguetes,3,598,1794,Móvil App,Jalisco
05/02/2026,Juego de Ollas Antiadherentes,Hogar,1,2279,2279,Tienda física,Nuevo León
05/02/2026,Lentes de Sol Retro,Moda,1,759,759,Marketplace,Puebla
05/02/2026,Vestido Floral Summer,Moda,1,1099,1099,Online,
05/09/2025,Smartwatch Fit 3,Electrónica,1,3299,3299,Móvil App,Jalisco
05/09/2025,Juego de Mesa Familiar,Juguetes,1,449,449,Online,
05/09/2025,Mancuernas Ajustables 10kg,Deportes,1,999,999,Online,CDMX
05/09/2025,Audífonos ANC Studio,Electrónica,2,2499,4998,Online,CDMX
05/09/2025,Chamarra Denim Classic,Moda,1,1298.50,1298.50,Online,Chihuahua
05/10/2025,Aspiradora Robot Clean+,Hogar,1,5999,5999,Online,Jalisco
05/10/2025,Bicicleta Urbana R26,Deportes,3,7999,23997,Online,Chihuahua
05/10/2025,Consola Next X,Electrónica,1,13999,13999,Tienda física,Nuevo León
05/10/2025,Pantalón Chino Slim,Moda,1,712,712,Online,Nuevo León
05/10/2025,Smartwatch Fit 3,Electrónica,1,3299,3299,Online,
05/10/2025,Set de Sábanas Queen 600h,Hogar,2,1079,2158,Marketplace,Puebla
05/10/2025,Balón Soccer Pro FIFA,Deportes,1,549,549,Marketplace,CDMX
05/11/2025,Purificador de Aire Mini,Hogar,2,2899,5798,Móvil App,Nuevo León
05/11/2025,Tablet Galaxy 10",Electrónica,1,6499,6499,Tienda física,CDMX
05/11/2025,Vestido Floral Summer,Moda,1,1098.50,,Móvil App,CDMX
05/11/2025,Laptop Pro 14,Electrónica,2,,37998,Online,Jalisco
05/12/2025,Paleta de Sombras Nude,Belleza,1,499,499,Online,
05/12/2025,Tablet Galaxy 10",Electrónica,1,6498.50,6498.50,Online,CDMX
05/12/2025,Peluche Oso Gigante 1.5m,Juguetes,2,494,988,Tienda física,Nuevo León
05/12/2025,Laptop Pro 14,Electrónica,1,18999,18999,Marketplace,CDMX
,Chamarra Denim Classic,Moda,1,1299,1299,Marketplace,Nuevo León
05/12/2025,Secadora Iónica 2200W,Belleza,2,1499,2998,Tienda física,CDMX
05/12/2025,Cámara Action Go,Electrónica,3,7999,23997,Marketplace,CDMX
05/12/2025,Tablet Galaxy 10",Electrónica,1,6499,6499,Online,CDMX
06/01/2026,Lámpara LED Inteligente,Hogar,1,549,549,Tienda física,Nuevo León
06/01/2026,,Belleza,1,499,499,Online,CDMX
06/01/2026,Juego de Ollas Antiadherentes,Hogar,1,1799,1799,Online,
06/01/2026,Consola Next X,Electrónica,1,13998.50,13998.50,Tienda física,CDMX
06/01/2026,Barra de Sonido 2.1,Electrónica,1,3499,3499,Online,
06/02/2026,,Deportes,3,12499,37497,Marketplace,Nuevo León
06/02/2026,,Belleza,1,560,560,,Jalisco
06/02/2026,Kit Bandas Elásticas,Deportes,1,284,284,Marketplace,Yucatán
06/02/2026,Sudadera Hoodie Urban,Moda,1,899,899,Tienda física,Nuevo León
06/02/2026,Rizador de Pelas Digital,Belleza,2,899,1798,Online,Jalisco
06/02/2026,Cámara Action Go,Electrónica,1,7999,7999,Móvil App,CDMX
06/02/2026,Balón Soccer Pro FIFA,Deportes,1,548.50,548.50,Tienda física,Chihuahua
06/09/2025,,Belleza,1,389,389,Online,CDMX
06/09/2025,Set Ciencia Experimentos,Juguetes,2,598,1196,Online,Jalisco
06/09/2025,Rizador de Pelas Digital,Belleza,1,899,899,Tienda física,Nuevo León
06/09/2025,Tablet Galaxy 10",Electrónica,5,6498.50,32492.50,Móvil App,Nuevo León
06/09/2025,Aspiradora Robot Clean+,Hogar,1,5999,5999,Móvil App,Chihuahua
06/10/2025,Secadora Iónica 2200W,Belleza,2,1349,2698,Marketplace,CDMX
06/10/2025,Dron Junior HD,Juguetes,2,1598.50,3197,Online,CDMX
06/10/2025,Barra de Sonido 2.1,Electrónica,1,3498.50,3498.50,Online,Puebla
06/10/2025,Serum Vitamina C 30ml,Belleza,2,659,1318,Online,CDMX
06/11/2025,Laptop Pro 14,Electrónica,1,18999,18999,,Jalisco
06/11/2025,Chamarra Denim Classic,Moda,5,974,4870,Online,Nuevo León
06/11/2025,Crema Hidratante Aloe,Belleza,2,389,778,Online,Nuevo León
06/11/2025,Paleta de Sombras Nude,Belleza,4,424,1696,Marketplace,CDMX
06/11/2025,Set de Sábanas Queen 600h,Hogar,1,1198.50,1198.50,Marketplace,Puebla
06/11/2025,Audífonos ANC Studio,Electrónica,3,2498.50,7495.50,Móvil App,Yucatán
06/11/2025,Tablet Galaxy 10",Electrónica,1,6499,6499,Online,Chihuahua
06/11/2025,Perfume Noir Intense 100ml,Belleza,1,1899,1899,Marketplace,Chihuahua
06/11/2025,Bloques Creativos 500pz,Juguetes,3,899,2697,Tienda física,Jalisco
06/12/2025,Cámara Action Go,Electrónica,1,7999,7999,Tienda física,Yucatán
06/12/2025,Balón Soccer Pro FIFA,Deportes,1,549,549,Tienda física,Nuevo León
06/12/2025,Vestido Floral Summer,Moda,6,1099,6594,Online,CDMX
06/12/2025,Bicicleta Urbana R26,Deportes,1,7999,7999,Online,CDMX
06/12/2025,Barra de Sonido 2.1,Electrónica,2,3499,6998,Móvil App,Chihuahua
06/12/2025,Paleta de Sombras Nude,Belleza,1,499,499,Online,Jalisco
06/12/2025,Teclado Mecánico RGB,Electrónica,1,1599,1599,Online,Jalisco
06/12/2025,Lentes de Sol Retro,Moda,1,721,721,Marketplace,Chihuahua
06/12/2025,Laptop Pro 14,Electrónica,1,18999,18999,Tienda física,CDMX
07/01/2026,Banda de Correr Plegable,Deportes,2,12499,24998,,Yucatán
07/01/2026,Juego de Ollas Antiadherentes,Hogar,1,2399,2399,Marketplace,Yucatán
07/01/2026,Paleta de Sombras Nude,Belleza,1,474,474,Móvil App,Yucatán
07/01/2026,Casco Ciclismo Aero,Deportes,6,1234,7404,Marketplace,CDMX
07/01/2026,Perfume Noir Intense 100ml,Belleza,1,1899,1899,Online,CDMX
07/01/2026,Banda de Correr Plegable,Deportes,1,11249,11249,Móvil App,Nuevo León
07/01/2026,Barra de Sonido 2.1,Electrónica,1,3498.50,3498.50,Móvil App,Yucatán
07/02/2026,Dron Junior HD,Juguetes,2,1599,3198,Tienda física,Jalisco
07/02/2026,Cámara Action Go,Electrónica,1,7999,,Móvil App,
07/02/2026,Secadora Iónica 2200W,Belleza,3,1199,3597,Móvil App,Nuevo León
07/02/2026,Mancuernas Ajustables 10kg,Deportes,1,998.50,,Online,CDMX
07/02/2026,Bloques Creativos 500pz,Juguetes,1,899,899,,Nuevo León
07/09/2025,Paleta de Sombras Nude,Belleza,1,499,499,Online,CDMX
07/09/2025,Aspiradora Robot Clean+,Hogar,1,5999,5999,Marketplace,Nuevo León
07/09/2025,Audífonos ANC Studio,Electrónica,2,1999,3998,Online,
07/09/2025,Aspiradora Robot Clean+,Hogar,3,5999,17997,Tienda física,
07/09/2025,Serum Vitamina C 30ml,Belleza,1,659,659,Online,CDMX
07/09/2025,Smartwatch Fit 3,Electrónica,3,3299,9897,,Jalisco
07/10/2025,Auto RC Turbo Rally,Juguetes,4,662,2648,Marketplace,CDMX
07/10/2025,Purificador de Aire Mini,Hogar,1,2899,2899,Marketplace,CDMX
07/10/2025,Aspiradora Robot Clean+,Hogar,1,5399,5399,Online,Chihuahua
07/10/2025,Chamarra Denim Classic,Moda,1,1039,1039,Online,CDMX
07/10/2025,,Belleza,2,560,1120,Online,Jalisco
07/10/2025,Laptop Pro 14,Electrónica,1,18999,18999,,Jalisco
07/11/2025,Laptop Pro 14,Electrónica,1,18999,18999,Tienda física,Chihuahua
07/11/2025,Licuadora Turbo 1200W,Hogar,2,1359,2718,Marketplace,CDMX
07/11/2025,Lentes de Sol Retro,Moda,1,758.50,758.50,,
,Barra de Sonido 2.1,Electrónica,1,2974,2974,Online,Puebla
07/11/2025,Yoga Mat Premium,Deportes,1,648.50,648.50,Móvil App,Puebla
07/11/2025,Lentes de Sol Retro,Moda,1,758.50,758.50,Marketplace,Jalisco
07/11/2025,Peluche Oso Gigante 1.5m,Juguetes,,439,439,,CDMX
07/11/2025,Audífonos ANC Studio,Electrónica,2,,4498,Tienda física,Jalisco
07/11/2025,Consola Next X,Electrónica,2,13998.50,27997,Online,Nuevo León
07/12/2025,Yoga Mat Premium,Deportes,1,649,649,Online,Jalisco
07/12/2025,Barra de Sonido 2.1,Electrónica,3,3498.50,10495.50,Online,Jalisco
07/12/2025,Licuadora Turbo 1200W,Hogar,1,1359,1359,Tienda física,Puebla
07/12/2025,Juego de Mesa Familiar,Juguetes,1,449,449,Móvil App,CDMX
07/12/2025,Juego de Ollas Antiadherentes,Hogar,3,2399,7197,Online,CDMX
07/12/2025,Set de Sábanas Queen 600h,Hogar,1,1199,1199,Marketplace,Jalisco
,Smartphone X5,Electrónica,1,8099,8099,Online,Jalisco
07/12/2025,Lámpara LED Inteligente,Hogar,1,548.50,548.50,Online,Yucatán
08/01/2026,Smartwatch Fit 3,Electrónica,2,3299,6598,Marketplace,Jalisco
08/01/2026,Smart TV 55'',Electrónica,1,11498.50,11498.50,Tienda física,Nuevo León
08/01/2026,Purificador de Aire Mini,Hogar,,2754,2754,Tienda física,Chihuahua
08/01/2026,Serum Vitamina C 30ml,Belleza,1,659,659,Online,Puebla
08/01/2026,Mancuernas Ajustables 10kg,Deportes,2,998.50,1997,Online,CDMX
08/01/2026,Casco Ciclismo Aero,Deportes,1,1299,1299,Móvil App,Chihuahua
08/01/2026,Juego de Ollas Antiadherentes,Hogar,1,2398.50,2398.50,Marketplace,CDMX
08/01/2026,Juego de Ollas Antiadherentes,Hogar,2,2279,4558,,
08/02/2026,Crema Hidratante Aloe,Belleza,1,389,389,Tienda física,Jalisco
08/02/2026,Tablet Galaxy 10",Electrónica,2,6499,12998,Tienda física,CDMX
08/02/2026,Cámara Action Go,Electrónica,1,7999,7999,Móvil App,CDMX
08/02/2026,Bicicleta Urbana R26,Deportes,2,7999,15998,Marketplace,
08/09/2025,Peluche Oso Gigante 1.5m,Juguetes,2,549,1098,Online,Puebla
08/09/2025,Serum Vitamina C 30ml,Belleza,2,658.50,1317,Online,Puebla
08/09/2025,Smartwatch Fit 3,Electrónica,2,3299,6598,Tienda física,Jalisco
08/10/2025,Rizador de Pelas Digital,Belleza,2,899,1798,Móvil App,Nuevo León
08/10/2025,Sudadera Hoodie Urban,Moda,,899,899,Online,Jalisco
08/10/2025,Casco Ciclismo Aero,Deportes,1,1104,1104,Móvil App,Jalisco
,Bicicleta Urbana R26,Deportes,2,5999,11998,Tienda física,CDMX
08/10/2025,Smart TV 55'',Electrónica,2,11499,22998,Online,Nuevo León
08/11/2025,Pantalón Chino Slim,Moda,1,949,,Online,Chihuahua
08/11/2025,Kit Bandas Elásticas,Deportes,3,299,897,Marketplace,Jalisco
08/11/2025,Purificador de Aire Mini,Hogar,2,2898.50,5797,Tienda física,CDMX
08/11/2025,,Juguetes,1,899,899,Móvil App,Puebla
08/11/2025,Purificador de Aire Mini,Hogar,2,2899,5798,,Jalisco
08/11/2025,Purificador de Aire Mini,Hogar,1,2464,2464,Tienda física,Jalisco
08/11/2025,Cámara Action Go,Electrónica,1,7998.50,7998.50,Online,CDMX
08/11/2025,Smartwatch Fit 3,Electrónica,1,,2804,Móvil App,Yucatán
08/11/2025,Bolso de Cuero Milano,Moda,1,1899,1899,Online,Yucatán
08/11/2025,Audífonos ANC Studio,Electrónica,3,2124,6372,Marketplace,CDMX
08/12/2025,Crema Hidratante Aloe,Belleza,1,389,389,Tienda física,
09/01/2026,Dron Junior HD,Juguetes,1,1599,,Móvil App,Puebla
09/01/2026,Purificador de Aire Mini,Hogar,1,2899,2899,Online,Jalisco
09/01/2026,Purificador de Aire Mini,Hogar,2,2898.50,5797,Tienda física,CDMX
09/01/2026,Chamarra Denim Classic,Moda,1,1299,1299,Marketplace,
09/02/2026,,Belleza,2,499,998,Online,Chihuahua
09/02/2026,Paleta de Sombras Nude,Belleza,1,499,499,Online,Jalisco
09/02/2026,Dron Junior HD,Juguetes,1,1598.50,1598.50,Marketplace,Yucatán
09/09/2025,Serum Vitamina C 30ml,Belleza,2,658.50,1317,Móvil App,Yucatán
09/09/2025,,Belleza,,389,389,Marketplace,Jalisco
,Smartwatch Fit 3,Electrónica,1,2969,2969,Marketplace,Jalisco
09/09/2025,Bolso de Cuero Milano,Moda,2,1899,3798,Online,CDMX
09/09/2025,Camiseta Basic Cotton,Moda,,,798,Marketplace,Nuevo León
09/09/2025,Bloques Creativos 500pz,Juguetes,2,899,1798,Marketplace,Yucatán
09/09/2025,Bicicleta Urbana R26,Deportes,3,7999,23997,Móvil App,Jalisco
09/10/2025,Audífonos ANC Studio,Electrónica,1,1874,1874,Marketplace,Nuevo León
09/10/2025,Smartwatch Fit 3,Electrónica,3,3299,9897,Online,CDMX
09/11/2025,Consola Next X,Electrónica,3,13998.50,41995.50,Móvil App,Puebla
09/11/2025,Paleta de Sombras Nude,Belleza,1,399,399,Online,Nuevo León
09/11/2025,Tenis Runner Air,Moda,2,2089,4178,Tienda física,Jalisco
09/11/2025,Vestido Floral Summer,Moda,1,1099,1099,Marketplace,Yucatán
09/11/2025,Aspiradora Robot Clean+,Hogar,1,5999,5999,Online,Jalisco
09/12/2025,Smartphone X5,Electrónica,1,8999,8999,Online,
09/12/2025,Juego de Ollas Antiadherentes,Hogar,1,2398.50,2398.50,Online,CDMX
09/12/2025,,Electrónica,4,8624,34496,Online,CDMX
09/12/2025,Serum Vitamina C 30ml,Belleza,2,659,,Online,CDMX
10/01/2026,Cafetera Espresso Deluxe,Hogar,3,4599,13797,Online,CDMX
10/01/2026,Cámara Action Go,Electrónica,1,7999,7999,Online,Puebla
10/01/2026,Peluche Oso Gigante 1.5m,Juguetes,1,549,549,Online,Chihuahua
10/01/2026,Vestido Floral Summer,Moda,2,1099,2198,Móvil App,Jalisco
10/01/2026,Laptop Pro 14,Electrónica,,18049,18049,Marketplace,Jalisco
10/01/2026,Smart TV 55'',Electrónica,,11499,34497,Online,Chihuahua
10/01/2026,Set de Sábanas Queen 600h,Hogar,1,1199,1199,Marketplace,
10/01/2026,Auto RC Turbo Rally,Juguetes,1,778.50,778.50,Marketplace,Nuevo León
10/02/2026,Rizador de Pelas Digital,Belleza,2,764,1528,Tienda física,Chihuahua
10/02/2026,Smartwatch Fit 3,Electrónica,1,3299,3299,Online,CDMX
10/02/2026,Casco Ciclismo Aero,Deportes,3,1299,3897,Online,CDMX
10/09/2025,Smart TV 55'',Electrónica,3,11498.50,34495.50,Tienda física,
10/09/2025,Smart TV 55'',Electrónica,2,8624,17248,Marketplace,Nuevo León
10/09/2025,Balón Soccer Pro FIFA,Deportes,1,549,549,Tienda física,Nuevo León
10/09/2025,Juego de Mesa Familiar,Juguetes,2,449,898,Online,CDMX
10/10/2025,Aspiradora Robot Clean+,Hogar,6,4499,26994,,CDMX
10/10/2025,Lámpara LED Inteligente,Hogar,2,548.50,,Marketplace,Chihuahua
10/10/2025,Vestido Floral Summer,Moda,1,1099,1099,Móvil App,
10/11/2025,Serum Vitamina C 30ml,Belleza,2,658.50,1317,Marketplace,Nuevo León
10/11/2025,Tenis Runner Air,Moda,2,2199,4398,Online,Jalisco
10/11/2025,Sudadera Hoodie Urban,Moda,1,898.50,898.50,Online,Jalisco
10/12/2025,Rizador de Pelas Digital,Belleza,1,898.50,898.50,Marketplace,Nuevo León
10/12/2025,Laptop Pro 14,Electrónica,2,18999,37998,Marketplace,
10/12/2025,Bicicleta Urbana R26,Deportes,1,7999,7999,Móvil App,CDMX
10/12/2025,Consola Next X,Electrónica,2,13999,27998,Móvil App,Jalisco
10/12/2025,Peluche Oso Gigante 1.5m,Juguetes,,549,549,Marketplace,Chihuahua
11/01/2026,Serum Vitamina C 30ml,Belleza,2,626,1252,Móvil App,CDMX
11/01/2026,,Belleza,1,659,659,,Puebla
11/01/2026,Smartwatch Fit 3,Electrónica,2,2639,5278,Marketplace,Yucatán
11/01/2026,Licuadora Turbo 1200W,Hogar,1,1698.50,1698.50,Marketplace,Nuevo León
11/02/2026,Vestido Floral Summer,Moda,6,1098.50,6591,Marketplace,Chihuahua
11/02/2026,Rizador de Pelas Digital,Belleza,6,899,5394,Online,
11/02/2026,Lámpara LED Inteligente,Hogar,1,549,549,,CDMX
11/02/2026,Smart TV 55'',Electrónica,2,9199,18398,Online,CDMX
11/02/2026,,Deportes,1,649,649,Marketplace,CDMX
11/02/2026,Serum Vitamina C 30ml,Belleza,2,659,1318,Online,Nuevo León
11/02/2026,Juego de Mesa Familiar,Juguetes,2,449,898,Online,Puebla
11/02/2026,Set de Sábanas Queen 600h,Hogar,2,1079,2158,Marketplace,
11/09/2025,Vestido Floral Summer,Moda,1,1044,1044,Marketplace,CDMX
11/09/2025,Bolso de Cuero Milano,Moda,1,1898.50,1898.50,Online,Jalisco
11/09/2025,Aspiradora Robot Clean+,Hogar,2,5998.50,11997,Marketplace,CDMX
11/09/2025,Serum Vitamina C 30ml,Belleza,6,659,3954,Tienda física,
11/09/2025,Lámpara LED Inteligente,Hogar,1,467,467,Marketplace,Jalisco
11/09/2025,Balón Soccer Pro FIFA,Deportes,1,549,549,Móvil App,Jalisco
11/09/2025,,Electrónica,1,2499,2499,Online,CDMX
